"Mã sản phẩm","Tên sản phẩm","Biến thể","Kho hiện tại","Kiểm kho"
2608595075,"Mũi khoan sắt HSS-G 9.0mm (hộp 5 mũi)",,1.0000,
2608595076,"Mũi khoan sắt HSS-G 9.5mm (hộp 5 mũi)",,1.0000,
2608595077,"Mũi khoan sắt HSS-G 10.0mm (hộp 5 mũi)",,1.0000,
2608595078,"Mũi khoan sắt HSS-G 10.5mm (hộp 5 mũi)",,3.0000,
2608595079,"Mũi khoan sắt HSS-G 11.0mm (hộp 5 mũi)",,1.0000,
2608595081,"Mũi khoan sắt HSS-G 12.0mm (hộp 5 mũi)",,1.0000,
2608595083,"Mũi khoan sắt HSS-G 13.0mm (hộp 5 mũi)",,1.0000,
2608600017,"Đá mài 100x6x16mm (sắt)",,1.0000,
2608600263,"Đá mài 125x6x22.2mm (sắt)",,16.0000,
2608600264,"Đá mài BOSCH 180 x 6.6 x 22.23mm",,19.0000,
2608600266,"Đá cắt sắt BOSCH 100x1.2x16mm",,34.0000,
2608600267,"Đá cắt 100x2x16mm (sắt)",,15.0000,
2608600272,"Đá cắt BOSCH 180 x 3.3 x 22.23mm",,22.0000,
2608600855,"Đá mài sắt BOSCH 150x6.0x22.2mm",,24.0000,
2608602751,"Đá cắt 14INCH 355MM BOSCH - D-62088-5",,13.0000,
2608603329,"Đĩa cắt kim cương 125x22.2mm đa năng",,5.0000,
2608603330,"Đĩa cắt kim cương 150x22.2mm đa năng",,6.0000,
2608603412,"Đá cắt sắt BOSCH 105x1.2x16mm",,25.0000,
2608603613,"Đĩa cắt kim cương BOSCH Turbo 105x16mm đa năng",,5.0000,
2608603615,"Đá cắt kim cương Turbo 105x16mm ceramic",,4.0000,
2608607414,"Đá cắt inox BOSCH 105x1.0x16mm",,11.0000,
2608620690,"Đá mài linh hoạt 100x2x16mm (lnox)",,7.0000,
2608630033,"Lưỡi cưa lọng T 111 C - Gỗ (bộ 5 lưỡi)",,4.0000,
2608630040,"Lưỡi cưa lọng BOSCH T 144 D - Gỗ (bộ 5 lưỡi)",,5.0000,
2608630058,"Lưỡi cưa lọng T 244 D - Gỗ (bộ 5 lưỡi)",,1.0000,
2608631013,"Lưỡi cưa lọng T 118 A - Sắt (bộ 5 lưỡi)",,4.0000,
2608636705,"Lưỡi cưa lọng BOSCH T 321 AF - Sắt (bộ 5 lưỡi)",,2.0000,
2608642199,"Lưỡi cắt nhôm đa năng 254x25.4/16mm T120",,4.0000,
2608642983,"Lưỡi cưa gỗ 184x25.4mm T30",,5.0000,
2608642984,"Lưỡi cưa gỗ 184x25.4mm T40",,1.0000,
2608642985,"Lưỡi cưa gỗ 184x25.5mm T60",,8.0000,
2608642999,"Lưỡi cưa gỗ 235x30mm T40",,2.0000,
2608643000,"Lưỡi cưa gỗ 235x30mm T60",,3.0000,
2608643001,"Lưỡi cưa gỗ 254x25.4mm T40",,2.0000,
2608643002,"Lưỡi cưa gỗ 254x25.4mm T60",,5.0000,
2608643021,"Lưỡi cưa gỗ 305x25.4mm T40",,1.0000,
