"Mã sản phẩm","Tên sản phẩm","Biến thể","Kho hiện tại","Kiểm kho"
THT2366,"Tua vít lục giác(150mm) Total",,2.0000,
THT2446,"Tua vít bake (PZ1- 100mm) Total",,2.0000,
THT24616,"Kềm mũi nhọn mỏ cong Total",,2.0000,
THT2506076,"Bộ tua vít 6 đầu Total",,5.0000,
THT250610,"Bộ 10 tua vít Total",,4.0000,
THT250726,"Bộ 7 tua vít đồng hồ Total",,1.0000,
THT250906,"Bộ 8 tua vít đa năng Total",,2.0000,
THT250FL1206,"Bộ 12 tua vít thay đổi trục linh hoạt Total",,14.0000,
THT260606,"Kềm cắt đứt Total",,10.0000,
THT26161,"Túi đựng công cụ 16 inch Total",,1.0000,
THT27716,"Kềm cắt Total",,1.0000,
THT28101,"Kềm càng cua đầu nhỏ (10) Total",,1.0000,
THT2881,"Kềm càng cua đầu nhỏ (8) Total",,2.0000,
THT2891,"Kềm càng cua đầu nhỏ (9) Total",,1.0000,
THT2K0302,"Bộ 3 kềm cách điện Total",,4.0000,
THT32101,"Kềm rút rivet (10'') Total",,1.0000,
THT32321,"Kềm rút rivet tay gấp Total",,3.0000,
THT3351,"Kéo đục lỗ vải da Total",,2.0000,
THT41166,"Đục gỗ (16mm) Total",,5.0000,
THT4166,"Đục gỗ (6mm) Total",,2.0000,
THT4196,"Đục gỗ (9mm) Total",,4.0000,
THT4211016,"Đục sắt dẹp (19mm) Total",,3.0000,
THT4211216,"Đục sắt dẹp (25mm) Total",,5.0000,
THT4221016,"Đục bê tông nhọn (254mm) Total",,5.0000,
THT4221026,"Đục bê tông nhọn (250mm) Total",,5.0000,
THT4221216,"Đục bê tông nhọn (305mm) Total",,5.0000,
THT4221226,"Đục bê tông nhọn (300mm) Total",,4.0000,
THT4411219,"Đục sắt dẹp 25mmx 305mm Total",,2.0000,
THT4421216,"Đục bê tông nhọn 16mmx 305mm Total",,1.0000,
THT4421219,"Đục bê tông nhọn 19mmx 305mm Total",,5.0000,
THT51130026,"Cưa tỉa 300mm Total",,2.0000,
THT5113006,"Cưa cành cầm tay lưỡi thẳng Total",,3.0000,
THT51133026,"Cưa tỉa 330mm Total",,4.0000,
THT5113306,"Cưa cành cầm tay lưỡi cong Total",,1.0000,
THT511812,"Dao rọc giấy (178mm) Total",,6.0000,
THT511836,"Dao rọc giấy (169mm) Total",,3.0000,
THT51881,"Dao tước dây cáp lưỡi thẳng 200mm Total",,2.0000,
THT521106,"Kéo cắt tole (cắt trái) Total",,4.0000,
THT522106,"Kéo cắt tole (cắt thẳng) Total",,3.0000,
THT523106,"Kéo cắt tole (cắt phải) Total",,1.0000,
THT524101,"Kéo cắt tole nhỏ (10'') Total",,2.0000,
THT53321,"Dao cắt ống Total",,4.0000,
THT53351,"Dao cắt ống nhựa PVC 210mm Total",,8.0000,
THT53425,"Dao cắt ống nhựa PVC 193mm Total",,4.0000,
THT55166,"Cưa tay lá liễu (16inch) Total",,1.0000,
THT55186,"Cưa tay lá liễu (18inch) Total",,1.0000,
THT55206,"Cưa tay lá liễu (20inch) Total",,1.0000,
THT571246,"Lưỡi cưa thép kim loại 24 răng Total",,18.0000,
THT576004B,"Lưỡi dao Bàn cắt gạch đẩy tay Total THT576004B",,5.0000,
THT578004B,"Lưỡi dao Bàn cắt gạch đẩy tay Total THT578004B",,7.0000,
THT7110006,"Búa đinh đầu dẹp & vuông(1000g) Total",,3.0000,
THT711006,"Búa đinh đầu dẹp & vuông(100g) Total",,4.0000,
THT7115006,"Búa đinh đầu dẹp & vuông(1500g) Total",,4.0000,
THT7120006,"Búa đinh đầu dẹp & vuông(2000g) Total",,1.0000,
THT712006,"Búa đinh đầu dẹp & vuông(200g) Total",,2.0000,
THT7143166,"Búa nhổ đinh(450g) Total",,4.0000,
THT7143206,"Búa nhổ đinh(560g) Total",,4.0000,
THT720416,"Búa tạ 4kg Total",,3.0000,
THT720516,"Búa tạ 5kg Total",,1.0000,
THT7210006,"Búa tạ (1000g) Total",,1.0000,
THT73166,"Búa nhổ đinh(450g) Total",,2.0000,
THT73227,"Búa nhổ đinh kiểu Anh 27mm Total",,2.0000,
THT7386,"Búa nhổ đinh(220g) Total",,5.0000,
THT74166,"Búa đầu tròn (450g) Total",,7.0000,
THT74246,"Búa đầu tròn (660g) Total",,8.0000,
THT74486,"Búa đầu tròn (1300g) Total",,5.0000,
THT750416,"Búa tạ 10LB Total",,2.0000,
THT750516,"Búa tạ 12LB Total",,5.0000,
THT761616,"Búa cao su (đen-450g) Total",,2.0000,
THT761636,"Búa cao su (trắng-450g) Total",,3.0000,
THT76836,"Búa cao su (trắng-220g) Total",,5.0000,
THT79021,"Búa nhựa đầu tròn đập không nảy 2LB Total",,2.0000,
THT81286,"Bàn chà Total",,4.0000,
THT82616,"Bay lát gạch(6inch) Total",,10.0000,
THT82716,"Bay lát gạch(7inch) Total",,2.0000,
THT831256,"Bay sủi sơn(125mm) Total",,8.0000,
THT831506,"Bay sủi sơn(150mm) Total",,1.0000,
THT83806,"Bay sủi sơn(80mm) Total",,5.0000,
THT84012,"Cọ sơn gỗ(1inch) Total",,2.0000,
THT84016,"Cọ sơn (1inch) Total",,3.0000,
THT84022,"Cọ sơn gỗ(2inch) Total",,3.0000,
THT84026,"Cọ sơn(2inch) Total",,2.0000,
THT84032,"Cọ sơn gỗ(3inch) Total",,3.0000,
THT84036,"Cọ sơn(3inch) Total",,3.0000,
THT84042,"Cọ sơn gỗ(4inch) Total",,4.0000,
THT84046,"Cọ sơn(4inch) Total",,2.0000,
THT84152,"Cọ sơn gỗ (1.5inch) Total",,2.0000,
THT84252,"Cọ sơn gỗ(2.5inch) Total",,4.0000,
THT846016,"Cọ sơn (1inch) Total",,4.0000,
THT846036,"Cọ sơn (3inch) Total",,1.0000,
THT846046,"Cọ sơn (4inch) Total",,2.0000,
THT846156,"Cọ sơn (1.5inch) Total",,1.0000,
THT91386,"Giũa sắt hình tròn Total",,3.0000,
THT91486,"Giũa sắt hình tam giác Total",,2.0000,
THT91586,"Giũa gỗ dẹp Total",,3.0000,
THT91686,"Giũa gỗ bán nguyệt Total",,3.0000,
THT91786,"Giũa gỗ tròn Total",,5.0000,
THT918326,"Bộ giũa gỗ Total",,5.0000,
THT91886,"Giũa sắt hình vuông Total",,6.0000,
THT9391,"Bào gỗ cầm tay 235mm Total",,4.0000,
THTDC2146,"Tua vít dẹp 5.0x100mm Total",,4.0000,
THTDC2156,"Tua vít dẹp 6.0x125mm Total",,1.0000,
THTDC2166,"Tua vít dẹp 6.0x150mm Total",,1.0000,
THTDC2246,"Tua vít bake 5.0x100mm Total",,4.0000,
THTFX12151,"Cần siết linh hoạt 1/2 inch Total",,1.0000,
THTGTS6100,"Tua vít dẹp đóng xuyên(100mm) Total",,1.0000,
THTGTS8150,"Tua vít dẹp đóng xuyên(150mm) Total",,12.0000,
THTGTS8200,"Tua vít dẹp đóng xuyên(200mm) Total",,9.0000,
THTGTSPH2150,"Tua vít đóng đầu bake Total",,3.0000,
THTGTSPH3150,"Tua vít bake đóng xuyên(150mm) Total",,6.0000,
THTIP171,"Kềm răng cách điện 7''/180mm Total",,3.0000,
THTIP181,"Kềm răng cách điện 8''/200mm Total",,3.0000,
THTIP2161,"Kềm răng cách điện 6''/160mm Total",,1.0000,
THTIP2171,"Kềm răng cách điện 7''/180mm Total",,3.0000,
THTIP2181,"Kềm răng cách điện 8''/200mm Total",,4.0000,
THTIP2261,"Kềm cắt đầu nặng cách điện 6''/160mm Total",,4.0000,
THTIP2361,"Kềm mũi nhọn mỏ dài cách điện 6''/160mm Total",,4.0000,
THTIP2381,"Kềm mũi nhọn mỏ dài cách điện 8''/200mm Total",,5.0000,
THTIP2481,"Kềm mũi nhọn mỏ cong cách điện 8''/200mm Total",,3.0000,
THTIP2571,"Kềm cắt cộng lực cách điện 7''/180mm Total",,5.0000,
THTIP261,"Kềm cắt cách điện 6''/160mm Total",,2.0000,
THTIP2661,"Kềm tuổt dây điện cách điện 6''/160mm Total",,9.0000,
THTIP2761,"Kềm cắt cáp cách điện 6''/160mm Total",,5.0000,
THTIP381,"Kềm mỏ dài cách điện 8''/200mm Total",,2.0000,
THTIS4100,"Tua vít dẹp cách điện SL4.0×100 Total",,4.0000,
THTIS5125,"Tua vít dẹp cách điện SL5.5x125 Total",,3.0000,
THTIS6150,"Tua vít dẹp cách điện SL6.5x150 Total",,2.0000,
THTISPH060,"Tua vít bake cách điện PH0x60 Total",,10.0000,
THTISPH180,"Tua vít bake cách điện PH1x80 Total",,1.0000,
THTISPH2100,"Tua vít bake cách điện PH2x100 Total",,10.0000,
THTISPZ180,"Tua vít bake cách điện PZ1x80 Total",,3.0000,
THTISPZ2100,"Tua vít bake cách điện PZ2x100 Total",,6.0000,
THTJ214041,"Bộ 4 kềm mở phe 125mm Total",,4.0000,
THTJ214042,"Bộ 4 kềm mở phe 180mm Total",,4.0000,
THTJ534121,"Kéo cắt tole nhỏ 12 inch Total",,4.0000,
THTL121101,"Bộ 10 đầu tuýp 1/2 inch Total",,1.0000,
THTM7386D,"Búa nhổ đinh Mini 8oz Total",,26.0000,
THTRCW40231,"Tắc kê chữ thập Total",,3.0000,
THTST12081,"Đầu tiếp (8mm) Total",,7.0000,
THTST12091,"Đầu tiếp (9mm) Total",,2.0000,
THTST12101,"Đầu tiếp (10mm) Total",,3.0000,
THTST12103L,"Đầu tiếp lục giác sâu 1/2inch x 10mm Total",,5.0000,
THTST12111,"Đầu tiếp (11mm) Total",,3.0000,
THTST12113L,"Đầu tiếp lục giác sâu 1/2inch x 11mm Total",,2.0000,
THTST12121,"Đầu tiếp (12mm) Total",,4.0000,
THTST12131,"Đầu tiếp (13mm) Total",,2.0000,
THTST12133L,"Đầu tiếp lục giác sâu 1/2inch x 13mm Total",,7.0000,
THTST12141,"Đầu tiếp (14mm) Totalp",,3.0000,
THTST12161,"Đầu tiếp (16mm) Total",,10.0000,
THTST12171,"Đầu tiếp (17mm) Total",,5.0000,
THTST12173L,"Đầu tiếp lục giác sâu 1/2inch x 17mm Total",,8.0000,
THTST12181,"Đầu tiếp (18mm) Total",,4.0000,
THTST12183L,"Đầu tiếp lục giác sâu 1/2inch x 18mm Total",,3.0000,
THTST12191,"Đầu tiếp (19mm) Total",,4.0000,
THTST12193L,"Đầu tiếp lục giác sâu 1/2inch x 19mm Total",,1.0000,
THTST12203L,"Đầu tiếp lục giác sâu 1/2inch x 20mm Total",,4.0000,
THTST12211,"Đầu tiếp (21mm) Total",,2.0000,
THTST12213L,"Đầu tiếp lục giác sâu 1/2inch x 21mm Total",,4.0000,
THTST12221,"Đầu tiếp (22mm) Total",,6.0000,
THTST12223L,"Đầu tiếp lục giác sâu 1/2inch x 22mm Total",,2.0000,
THTST12231,"Đầu tiếp (23inch) Total",,4.0000,
THTST12241,"Đầu tiếp (24mm) Total",,5.0000,
THTST12243L,"Đầu tiếp lục giác sâu 1/2inch x 24mm Tota",,1.0000,
THTST12251,"Đầu tiếp (25mm) Total",,3.0000,
THTST12261,"Đầu tiếp (26mm) Total",,4.0000,
THTST12271,"Đầu tiếp (27mm) Total",,4.0000,
THTST12273L,"Đầu tiếp lục giác sâu 1/2inch x 27mm Total",,5.0000,
THTST12281,"Đầu tiếp (28mm) Total",,4.0000,
THTST12291,"Đầu tiếp (29mm) Total",,4.0000,
THTST12301,"Đầu tiếp (30mm) Total",,3.0000,
THTST12303L,"Đầu tiếp lục giác sâu 1/2inch x 30mm Total",,3.0000,
THTST12321,"Đầu tiếp (32mm) Total",,4.0000,
THTST12323L,"Đầu tiếp lục giác sâu 1/2inch x 32mm Total",,4.0000,
THTSTB12106,"Thanh trượt T 250mm Total",,1.0000,
THWS030301,"Bộ 3 khớp nối Total",,1.0000,
THZATN1031,"Vòi phun máy xịt rửa Total",,3.0000,
THZATN1101,"Vòi phun máy xịt rửa Total",,2.0000,
TIRLI2002,"Máy siết vít dùng pin Lithium 20V Total",,2.0000,
TIWLI2001,"Máy siết buloong dùng pin Total",,2.0000,
TJSLI8501,"Máy cưa lọng dùng pin Lithium 20V Total (không kèm pin và sạc)",,2.0000,
TKTTSK0132,"Bộ 13 công cụ viễn thông Total",,2.0000,
TKTTSK0512,"Bộ 51 công cụ viễn thông Total",,3.0000,
TLK32202,"Ổ khóa Total",,2.0000,
TLK32302,"Ổ khóa Total",,1.0000,
TLT5001,"Máy cắt mép Total 500W",,1.0000,
TMHSB1501,"Lưỡi của khung cưa sắt nhỏ 152mm Total",,7.0000,
TMLI2001,"Máy cắt công cụ đa năng dùng pin Lithium 20V Total (không kèm pin và sạc)",,1.0000,
TMT126031,"Thước kéo thép nền vàng (3mx16mm) Total",,1.0000,
TMT126051,"Thước kéo thép nền vàng (5mx19mm) Total",,4.0000,
TMT126101,"Thước kéo thép nền vàng(10m x 25mm) Total",,2.0000,
TMT126331,"Thước kép thép nền vàng (3mx16mm) Total",,1.0000,
TMT126352,"Thước kép thép nền vàng (5mx25mm) Total",,3.0000,
TMT210016,"Thước thủy (100cm) Total",,1.0000,
TMT21005M,"Thước thủy(kèm theo nam châm hút)-100cm Total",,1.0000,
TMT21006,"Thước thủy (tốt-100cm) Total",,4.0000,
TMT21205M,"Thước thủy(kèm theo nam châm hút)-120cm Total",,3.0000,
TMT21206,"Thước thủy (tốt-120cm) Total",,2.0000,
TMT222606,"Thước nhôm 60cm Total",,1.0000,
TMT2306,"Thước thủy (tốt- 30cm) Total",,2.0000,
TMT2606D,"Thước đo kỹ thuật số (60cm) Total",,4.0000,
TMT2806,"Thước thủy (tốt-80cm) Total",,1.0000,
TMT422,"Dây đo ampe Total",,1.0000,
TMT46001,"Đồng hồ đo điện vạn năng Total TMT46001",,2.0000,
TMT47504,"Đồng hồ vạn năng kỹ thuật số Total",,1.0000,
TMTF12206,"Thước dây sợi thủy tinh (20m) Total",,8.0000,
TMTF12306,"Thước dây sợi thủy tinh (30m) Total",,4.0000,
TMXLI2001,"Máy trộn sơn dùng pin Lithium 20V Total (không kèm pin và sạc)",,2.0000,
TOBPLI228180,"Pin Li-ion 18V Total",,5.0000,
TORSP06071,"Cờ lê 2 vòng (6x7mm) Total",,1.0000,
TORSP08091,"Cờ lê 2 vòng (8x9mm) Total",,3.0000,
TORSP10111,"Cờ lê 2 vòng (10x11mm) Total",,10.0000,
TORSP12131,"Cờ lê 2 vòng (12x13mm) Total",,4.0000,
TORSP14151,"Cờ lê 2 vòng (14x15mm) Total",,9.0000,
TORSP16171,"Cờ lê 2 vòng (16x17mm) Total",,4.0000,
TORSP18191,"Cờ lê 2 vòng (18x19) Total",,1.0000,
TPHSK0401,"Bộ 4 dụng cụ sửa điện thoại Total",,10.0000,
TPMAU02,"Dù Total",,18.0000,
TPMGF03,"Cây bảng hiệu quảng cáo (cờ buồm) Total",,4.0000,
TR111226,"Máy phay gỗ Total 2200W",,2.0000,
TRHLI1601,"Máy khoan bê tông dùng pin Lithium 20V Total (không kèm pin và sạc)",,1.0000,
TRHLI2201,"Máy khoan đục dùng pin Lithium 20V Total (không kèm pin và sạc)",,5.0000,
TROSLI2001,"Máy chà nhám tròn dùng pin Lithium 20V Total (không kèm pin và sạc)",,2.0000,
TS10000,"KỀM RĂNG 6'',160mm",,0.0000,
TS10001,"KỀM RĂNG 7'',180mm",,5.0000,
TS10002,"KỀM RĂNG 8'',200mm",,11.0000,
TS10003,"KỀM CẮT 6'',160mm",,4.0000,
TS10004,"KỀM CẮT 7'',180mm",,11.0000,
TS10006,"KỀM NHỌN 6'',160mm",,11.0000,
TS10007,"KỀM NHỌN 8'',200mm",,5.0000,
TS10008,"KỀM NHỌN CONG 6'',160mm",,5.0000,
TS10013,"KỀM TUỐT DÂY 6'',160mm",,5.0000,
TS10014,"KỀM MỎ QUẠ TOLSEN 10014 25CM",,5.0000,
TS10015,"KỀM RĂNG (CÔNG NGHIỆP) 6'',160mm",,11.0000,
TS10016,"KỀM RĂNG (CÔNG NGHIỆP) 7'',180mm",,21.0000,
TS10017,"KỀM RĂNG (CÔNG NGHIỆP) 8'',200mm",,8.0000,
TS10018,"KỀM CẮT (CÔNG NGHIỆP) 6'' TOLSEN 10018",,11.0000,
TS10019,"KỀM CẮT (CÔNG NGHIỆP) 7'',180mm",,9.0000,
TS10021,"KỀM NHỌN (CÔNG NGHIỆP) 6'',160mm",,14.0000,
TS10022,"KỀM NHỌN (CÔNG NGHIỆP) 8'',200mm",,13.0000,
TS10023,"KỀM NHỌN (CÔNG NGHIỆP) 6'',160mm",,10.0000,
TS10028,"KỀM TUỐT DÂY (CÔNG NGHIỆP) 6'',160mm",,8.0000,
TS10029,"KỀM MỎ QUẠ (CÔNG NGHIỆP) 10'',250mm",,7.0000,
TS10030,"KỀM RĂNG MINI 4.5'' TOLSEN 10030",,9.0000,
TS10031,"KỀM NHỌN MINI 4.5'' TOLSEN 10031",,3.0000,
TS10033,"Kềm cắt mini 4,5"" Tolsen 10033 115mm",,2.0000,
TS10038,"BỘ 3 KỀM RĂNG - CẮT - NHỌN MINI TOLSEN 10038",,4.0000,
TS10039,"KỀM CÀNG CUA (CÔNG NGHIỆP) 8'' TOLSEN 10039",,5.0000,
TS10043,"KỀM CÀNG CUA (CÔNG NGHIỆP) 6'' TOLSEN 10043",,5.0000,
TS10044,"KỀM CÀNG CUA (CÔNG NGHIỆP) 7'' TOLSEN 10044",,6.0000,
TS10045,"KỀM CÀNG CUA (CÔNG NGHIỆP) 8'' TOLSEN 10045",,8.0000,
TS10048,"KỀM BẤM MIỆNG THẰNG 10'' TOLSEN 10048",,3.0000,
TS10049,"KỀM BẤM MIỆNG CONG 10'' TOLSEN 10049",,1.0000,
TS10050,"KỀM BẤM XÍCH 10'' ( CÔNG NGHIỆP ) TOLSEN 10050",,5.0000,
TS10051,"KỀM BẤM MIỆNG CONG TOLSEN 10051",,13.0000,
TS10052,"KỀM BẤM NHỌN TOLSEN 10052 23CM",,6.0000,
TS10053,"KỀM BẤM NHỌN (CÔNG NGHIỆP) 9'' TOLSEN 10053",,3.0000,
TS10055,"KÈM BẤM KẸP 10'' TOLSEN 10055",,3.0000,
TS10056,"KỀM BẤM CHỮ C 11'' TOLSEN 10056",,2.0000,
TS10058,"KỀM BẤM CHỮ C( CÔNG NGHIỆP ) TOLSEN 10058",,1.0000,
TS10066,"CẮT SẮT MINI 8'' TOLSEN 10066",,6.0000,
TS10077,"PHE THẲNG VÔ 7'' TOLSEN 10077",,5.0000,
TS100806,"Máy cưa kiếm Total 750W",,1.0000,
TS10082,"PHE CÔNG VÔ 7'' TOLSEN 10082",,4.0000,
TS10087,"PHE THẲNG RA 7'' TOLSEN 10087",,7.0000,
TS10092,"PHE CÔNG RA 7'' TOLSEN 10092",,7.0000,
TS10097,"BỘ KỀM PHE 7'',180mm",,5.0000,
TS10100,"KÈM PHE BỘ 4 ĐẦU 6'' TOLSEN 10100",,4.0000,
TS10101,"KỀM BẤM LỖ 9'', 220mm",,9.0000,
TS10103,"ETO 4'' TOLSEN 10103",,4.0000,
TS10105,"ETO 6'' TOLSEN 10105",,1.0000,
TS10106,"ETO 8'' TOLSEN 10106",,4.0000,
TS10107,"E TO NHANH 2'', 50mm",,1.0000,
TS10112,"CẢO CHỮ G 3'', 750mm",,2.0000,
TS10113,"CẢO CHỮ G 4'', 100mm",,3.0000,
TS10115,"CẢO CHỮ G 8'' TOLSEN 10115",,3.0000,
TS10123,"CẢO CHỮ F CÁN GỖ 50x150mm",,6.0000,
TS10125,"CẢO CHỮ F CÁN GỖ 50x250mm TOLSEN 10125",,6.0000,
TS10153,"CẢO CHỮ F CÁN GỖ 120x500mm",,3.0000,
TS10155,"CẢO CHỮ F CÁN GỖ 120x800mm",,1.0000,
TS10161,"CẢO CHỮ F CÁN NHỰA CN 50x150mm",,6.0000,
TS10163,"CẢO CHỮ F CÁN NHỰA CN 50x150mm TOLSEN 10163",,9.0000,
TS10189,"CẢO CHỮ F CÁN NHỰA CN 120x300mm",,2.0000,
TS10191,"CẢO CHỮ F CÁN NHỰA CN 120x500mm",,1.0000,
TS10193,"CẢO CHỮ F CÁN NHỰA CN 120x800mm",,2.0000,
TS10194,"CẢO CHỮ F CÁN NHỰA CN 120x1000mm",,4.0000,
TS10198,"KẸP NHỰA 4'' TOLSEN 10198",,5.0000,
TS10199,"KẸP NHỰA 6'', 150mm",,12.0000,
TS10200,"KẸP NHỰA 9'', 225mm",,8.0000,
TS10201,"KẸP NHANH 6'' TOLSEN 10201",,7.0000,
TS10204,"KẸP NHANH 12'' TOLSEN 10204",,7.0000,
TS10206,"KẸP NHANH 18'', 450mm",,5.0000,
TS10207,"KẸP NHANH 24'', 600mm",,6.0000,
TS10209,"BỘ KẸP NHANH 4'' 6'' TOLSEN 10209",,5.0000,
TS10210,"KẸP LẤY GÓC VUÔNG 3'',75mm",,4.0000,
TS10231,"MỎ LẾT RĂNG 8'' TOLSEN 10231",,3.0000,
TS10232,"MỎ LẾT RĂNG 10'' TOLSEN 10232",,3.0000,
TS10233,"MỎ LẾT RĂNG 12'' TOLSEN 10233",,5.0000,
TS10234,"MỎ LẾT RĂNG 14'' TOLSEN 10234",,4.0000,
TS10236,"MỎ LẾT RĂNG 24'' TOLSEN 10236",,4.0000,
TS10237,"MỎ LẾT RĂNG 36'' TOLSEN 10237",,1.0000,
TS10241,"KÉO CẮT SẮT 12'' TOLSEN 10241",,2.0000,
TS10242,"KÉO CẮT SẮT 14'' TOLSEN 10242",,1.0000,
TS10244,"KÉO CẮT SẮT 24'' TOLSEN 10244",,3.0000,
TS10245,"KÉO CẮT SẮT 30'' TOLSEN 10245",,1.0000,
TS10246,"KÉO CẮT SẮT 36'' TOLSEN 10246",,1.0000,
TS10247,"KÉO CẮT SẮT 42'' TOLSEN 10247",,1.0000,
TS10251,"MỎ LẾT RĂNG NHANH 90º (CÔNG NGHIỆP) 33mm TOLSEN 10251",,5.0000,
TS10256,"MỎ LẾT NHANH 45º (CÔNG NGHIỆP) 33mm TOLSEN 10256",,4.0000,
TS10257,"MỎ LẾT NHANH 45º (CÔNG NGHIỆP) 48mm TOLSEN 10257",,5.0000,
TS10301,"KỀM HÀNG RÀO 10'', 250mm",,3.0000,
TS10304,"KỀM CÀNG CUA (CÔNG NGHIỆP) 8'' TOLSEN 10045",,1.0000,
TS10305,"KỀM RĂNG ĐA NĂNG 9,5', 240mm",,3.0000,
TS10311,"KỀM 2 LỖ TOLSEN 6'', 160mm",,3.0000,
TS10313,"KỀM 2 LỖ TOLSEN 8'', 200mm",,3.0000,
TS10314,"KỀM 2 LỖ TOLSEN 10'', 250mm",,2.0000,
TS10329,"KỀM MỎ QUẠ 10'', 250mm",,5.0000,
TS10330,"KỀM MỎ QUẠ 12'', 300mm",,11.0000,
TS10400,"BỘ 3 KỀM RĂNG - CẮT - NHỌN (180mm,160mm,160mm)",,2.0000,
TS10410,"BỘ 3 KỀM RĂNG - CẮT - NHỌN CÔNG NGHIỆP TOLSEN 10410",,3.0000,
TS15001,"MỎ LẾT CÁN TRƠN 150mm(6"")",,9.0000,
TS15002,"MỎ LẾT CÁN TRƠN 200mm(8"")",,4.0000,
TS15003,"MỎ LẾT CÁN TRƠN 250mm(10"")",,3.0000,
TS15004,"MỎ LẾT 300mm(12"")",,4.0000,
TS15005,"MỎ LẾT CÁN TRƠN 375MM,15''",,3.0000,
TS15006,"MỎ LẾT CÁN TRƠN 450mm,18''",,2.0000,
TS15007,"BỘ 3 MỎ LẾT CÁN TRƠN 6'',8'',10''",,1.0000,
TS15014,"CHÌA KHÓA VÒNG MIỆNG 6mm",,8.0000,
TS15015,"CHÌA KHÓA VÒNG MIỆNG 7mm",,10.0000,
TS15016,"CHÌA KHÓA VÒNG MIỆNG 8mm TOLSEN 15016",,9.0000,
TS15017,"CHÌA KHÓA VÒNG MIỆNG 9mm TOLSEN 15017",,11.0000,
TS15019,"CHÌA KHÓA VÒNG MIỆNG 11mm TOLSEN 15019",,13.0000,
TS15022,"CHÌA KHÓA VÒNG MIỆNG 14mm TOLSEN 15022",,2.0000,
TS15023,"CHÌA KHÓA VÒNG MIỆNG 15mm TOLSEN 15023",,5.0000,
TS15024,"CHÌA KHÓA VÒNG MIỆNG 16mm TOLSEN 15024",,5.0000,
TS15026,"CHÌA KHÓA VÒNG MIỆNG 18mm TOLSEN 15026",,1.0000,
TS15028,"CHÌA KHÓA VÒNG MIỆNG 20mm TOLSEN 15028",,7.0000,
TS15029,"CHÌA KHÓA VÒNG MIỆNG 21mm TOLSEN 15029",,3.0000,
TS15030,"CHÌA KHÓA VÒNG MIỆNG 22mm TOLSEN 15030",,3.0000,
TS15033,"CHÌA KHÓA VÒNG MIỆNG 25mm TOLSEN 15033",,3.0000,
TS15034,"CHÌA KHÓA VÒNG MIỆNG 26mm TOLSEN 15034",,2.0000,
TS15035,"CHÌA KHÓA VÒNG MIỆNG 27mm TOLSEN 15035",,1.0000,
TS15036,"CHÌA KHÓA VÒNG MIỆNG 28mm TOLSEN 15036",,2.0000,
TS15037,"CHÌA KHÓA VÒNG MIỆNG 29mm TOLSEN 15037",,6.0000,
TS15038,"CHÌA KHÓA VÒNG MIỆNG 30mm TOLSEN 15038",,1.0000,
TS15039,"CHÌA KHÓA VÒNG MIỆNG 32mm TOLSEN 15039",,3.0000,
TS15051,"CHÌA KHÓA MIỆNG MIỆNG 6*7mm TOLSEN 15051",,9.0000,
TS15052,"CHÌA KHÓA MIỆNG MIỆNG 8*9mm TOLSEN 15052",,7.0000,
TS15053,"CHÌA KHÓA MIỆNG MIỆNG 10*11mm TOLSEN 15053",,12.0000,
TS15054,"CHÌA KHÓA MIỆNG MIỆNG 12*13mm TOLSEN 15054",,7.0000,
TS15055,"CHÌA KHÓA MIỆNG MIỆNG 14*15mm TOLSEN 15055",,11.0000,
TS15056,"CHÌA KHÓA MIỆNG MIỆNG 16*17mm TOLSEN 15056",,3.0000,
TS15057,"CHÌA KHÓA MIỆNG MIỆNG 18*19mm TOLSEN 15057",,5.0000,
TS15058,"CHÌA KHÓA MIỆNG MIỆNG 20*22mm TOLSEN 15058",,7.0000,
TS15059,"CHÌA KHÓA MIỆNG MIỆNG 21*23mm TOLSEN 15059",,7.0000,
TS15063,"CHÌA KHÓA VÒNG VÒNG 6*7mm TOLSEN 15063",,11.0000,
TS15064,"CHÌA KHÓA VÒNG VÒNG 8*9mm TOLSEN 15064",,8.0000,
TS15065,"CHÌA KHÓA VÒNG VÒNG 10*11mm TOLSEN 15065",,7.0000,
TS15066,"CHÌA KHÓA VÒNG VÒNG 12*13mm TOLSEN 15066",,8.0000,
TS15067,"CHÌA KHÓA VÒNG VÒNG 14*15mm TOLSEN 15067",,3.0000,
TS15070,"CHÌA KHÓA VÒNG VÒNG 20*22mm TOLSEN 15070",,4.0000,
TS15072,"CHÌA KHÓA VÒNG VÒNG 24*27mm TOLSEN 15072",,3.0000,
TS15076,"BỘ CHÌA KHÓA MIỆNG - MIỆNG 8 MÓN TOLSEN 15076",,2.0000,
TS15087,"CẦN ĐIẾU 8mm TOLSEN 15087",,4.0000,
TS15089,"CẦN ĐIẾU 10mm TOLSEN 15089",,9.0000,
TS15091,"CẦN ĐIẾU 12mm TOLSEN 15091",,9.0000,
TS15092,"CẦN ĐIẾU13mm TOLSEN 15092",,3.0000,
TS15093,"CẦN ĐIẾU14mm TOLSEN 15093",,9.0000,
TS15096,"CẦN ĐIẾU 17mm TOLSEN 15096",,5.0000,
TS15098,"CẦN ĐIẾU 19mm TOLSEN 15098",,2.0000,
TS15111,"CHỮ T 9mm TOLSEN 15111",,6.0000,
TS15113,"CHỮ 12mm TOLSEN 15113",,8.0000,
TS15114,"CHỮ 13mm TOLSEN 15114",,12.0000,
TS15115,"CHỮ 14mm TOLSEN 15115",,2.0000,
